position	mod	avg_n_valid_cov	gene_id	region	half_life	mean_CPM	mean_stoich	tail_group	tail_length
1_17868261_17868262	m6A	704.5	AT1G48350	CDS	507.9974876	371.20128827896	0.0230174826043447	short	19
2_9451740_9451741	m6A	89	AT2G22240	3'UTR	485.6702077	59.0587331222897	0.113771601391667	long	119
4_8242663_8242664	m6A	606.5	AT4G14320	3'UTR	683.2563446	452.861223808229	0.0160936228093785	long	167
2_6760491_6760492	m6A	71.5	AT2G15480	3'UTR	356.8515207	18.5076357345919	0.042579292790443	medium	59
1_9315855_9315856	m6A	311	AT1G26880	CDS	187.1848151	307.483309794121	0.160666663176303	short	45
3_3848146_3848147	m6A	19	AT3G12080	CDS	101.5498862	26.4905775068447	0.220018034257726	short	43
5_24878571_24878572	m6A	24	AT5G61960	3'UTR	117.3858696	31.7458535043872	0.225471048687196	short	48
5_8034812_8034813	m6A	74	AT5G23830	3'UTR	43777397600	23.876047470167	0.0579183404368077	medium	69
3_2826142_2826143	m6A	78	AT3G09210	CDS	116.0359834	75.962122526207	0.0973162293802353	medium	71
1_1190529_1190530	m6A	685.5	AT1G04410	CDS	259.3871595	571.035257921824	0.00675247094630273	short	22
1_7297310_7297311	m6A	49	AT1G20950	3'UTR	313.4299271	49.9544399163222	0.147887055135111	long	116
4_458177_458178	m6A	523	AT4G01050	3'UTR	280.0830255	243.920892949077	0.0196030155871248	short	25
2_15472819_15472820	m6A	78.5	AT2G36870	3'UTR	241.9338819	107.52206244597	0.0433888343346391	medium	74
5_18663002_18663003	m6A	227	AT5G46020	3'UTR	30906.15847	143.712963793775	0.093408377329936	long	123
4_6422254_6422255	m6A	35	AT4G10360	3'UTR	104.2934159	22.3283690085087	0.31613605196664	medium	94
2_18814919_18814920	m6A	54	AT2G45670	3'UTR	170.4729277	35.722148418099	0.194756972065826	long	185
1_2463275_2463276	m6A	561.5	AT1G07940	3'UTR	3834.575893	438.573951200136	0.0160510727398307	short	31
5_10540489_10540490	m6A	62.5	AT5G28540	3'UTR	171.1118261	113.815651484192	0.0554400515484381	short	10
1_21044733_21044734	m6A	66.5	AT1G56220	3'UTR	34.75620921	86.2301930676514	0.00701514435759257	long	145
4_5931297_5931298	m6A	95	AT4G09350	3'UTR	42.54258306	37.5830181696681	0.0825173041004566	short	22
4_8243149_8243150	m6A	552.5	AT4G14320	CDS	683.2563446	452.861223808229	0.0160936228093785	long	103
2_13528332_13528333	m6A	71.5	AT2G31810	3'UTR	110.8726072	38.4073882910471	0.0258673389815076	long	142
1_6462183_6462184	m6A	222	AT1G18730	3'UTR	108.8010221	137.929496382775	0.0323918248534035	long	155
3_21995842_21995843	m6A	646	AT3G59540	3'UTR	257.803111	508.224433351567	0.0459187678950603	medium	71
4_677219_677220	m6A	33	AT4G01560	3'UTR	65.35587071	37.4274565298732	0.480702559552671	medium	93
4_12663022_12663023	m6A	56.5	AT4G24520	3'UTR	275.3070678	45.5518179746669	0.200043580260114	medium	77
5_4825339_4825340	m6A	155	AT5G14910	3'UTR	288.7342105	215.399742083613	0.00673373533920963	medium	65
5_1303456_1303457	m6A	38	AT5G04550	3'UTR	109.9608979	28.5070088982088	0.0905853449550029	medium	73
4_8243149_8243150	m6A	552.5	AT4G14320	CDS	683.2563446	452.861223808229	0.0160936228093785	long	155
4_8047969_8047970	m6A	211.5	AT4G13930	3'UTR	585.9739954	302.040052201633	0.00798490966841809	long	120
2_10829980_10829981	m6A	88.5	AT2G25450	3'UTR	290.703745	401.678166646128	0.00364949713872246	medium	53
1_18504246_18504247	m6A	199.5	AT1G49970	CDS	562.4145598	120.212281710059	0.108507602471258	medium	61
2_17946977_17946978	m6A	640	AT2G43150	3'UTR	487.168629	321.547631590622	0.00639252810836246	medium	98
2_19447036_19447037	m6A	2714	AT2G47400	CDS	236.6130615	1509.78220602151	0.00260143800029848	short	27
1_4761263_4761264	m6A	1192	AT1G13930	CDS	421.6928457	1914.23633427008	0.00129189519944002	short	46
1_1190529_1190530	m6A	685.5	AT1G04410	CDS	259.3871595	571.035257921824	0.00675247094630273	short	46
3_5594267_5594268	m6A	591	AT3G16460	CDS	564.909565	182.169037038953	0.00385564922875592	long	130
1_20668632_20668633	m6A	29.5	AT1G55360	5'UTR	125.7543702	57.9090977540669	0.0488295046396241	short	0
3_18504778_18504779	m6A	1045.5	AT3G49910	3'UTR	204.5225086	794.775626979685	0.00651323098862025	medium	94
5_22605102_22605103	m6A	242.5	AT5G55850	3'UTR	1840.78849	104.695402900481	0.0410242920144685	short	35
2_5539781_5539782	m6A	2064	AT2G13360	CDS	129.0087206	721.500478231756	0.00421419430197129	short	13
3_20985992_20985993	m6A	70.5	AT3G56650	3'UTR	193.7792845	28.4645829964465	0.129334948011161	medium	55
4_842205_842206	m6A	138.5	AT4G01940	CDS	282.6159988	80.4342713424374	0.0724594227961766	short	40
5_19771926_19771927	m6A	85.5	AT5G48760	CDS	114.0101284	108.019099310184	0.0666812881439527	long	116
1_9315430_9315431	m6A	76.5	AT1G26880	3'UTR	187.1848151	307.483309794121	0.160666663176303	medium	70
1_28009618_28009619	m6A	23.5	AT1G74530	3'UTR	144.5791869	17.1862287489989	0.106557662097828	medium	61
4_8047969_8047970	m6A	211.5	AT4G13930	3'UTR	585.9739954	302.040052201633	0.00798490966841809	short	20
1_18591389_18591390	m6A	134	AT1G50200	3'UTR	606.9636836	96.3589119468762	0.0406476394032204	short	50
1_17908438_17908439	m6A	184.5	AT1G48440	3'UTR	179.144885	142.634038261822	0.143908172998557	medium	57
5_22245578_22245579	m6A	233.5	AT5G54760	3'UTR	370.8786111	157.947323302319	0.0914672424096377	short	40
5_4786025_4786026	m6A	92.5	AT5G14800	3'UTR	55.62000917	76.9279123201268	0.0146571021571022	long	101
1_10286568_10286569	m6A	43.5	AT1G29390	CDS	524.3613007	55.2238578811187	0.207694929577071	long	112
4_13055433_13055434	m6A	308	AT4G25570	CDS	366.7357309	127.066197810752	0.0304239700107347	medium	99
4_5646674_5646675	m6A	271	AT4G08870	CDS	291.7664171	201.177456532002	0.0218476645174525	medium	72
2_18074279_18074280	m6A	214.5	AT2G43560	CDS	65.59366143	95.2779184046026	0.00433054814504646	medium	88
1_9315855_9315856	m6A	311	AT1G26880	CDS	187.1848151	307.483309794121	0.160666663176303	short	23
3_1330710_1330711	m6A	518	AT3G04840	CDS	346.3373088	440.588795832353	0.023138122881131	long	102
2_18074279_18074280	m6A	214.5	AT2G43560	CDS	65.59366143	95.2779184046026	0.00433054814504646	short	30
3_18504811_18504812	m6A	12	AT3G49910	3'UTR	204.5225086	794.775626979685	0.00651323098862025	long	135
3_20453026_20453027	m6A	43	AT3G55170	3'UTR	245.7133579	61.9985284058112	0.152526938835803	short	41
4_12322907_12322908	m6A	20.5	AT4G23640	CDS	190.9175518	20.9928200556617	0.251451402253299	medium	61
1_1189812_1189813	m6A	918.5	AT1G04410	CDS	259.3871595	571.035257921824	0.00675247094630273	medium	69
2_1993727_1993728	m6A	1064	AT2G05440	CDS	39.88919836	467.877193431394	0.00232020235568093	medium	76
2_11343222_11343223	m6A	213.5	AT2G26670	CDS	418.7844633	82.4377437282427	0.0980528722986354	medium	94
4_8520059_8520060	m6A	399.5	AT4G14880	5'UTR	63597432401	329.185296222808	0.00959404774664454	short	47
2_11764016_11764017	m6A	561	AT2G27530	CDS	208.2161854	390.064541205225	0.00268472581834737	medium	72
2_96463_96464	m6A	125	AT2G01140	CDS	1672.699008	161.226525799939	0.00977301174266185	short	27
1_5779236_5779237	m6A	14	AT1G16900	3'UTR	94.31683628	14.2322914982233	0.339637966200466	short	11
3_6613774_6613775	m6A	23.5	AT3G19130	CDS	111.5787207	41.6745168317337	0.252895067310695	medium	60
1_6773459_6773460	m6A	477.5	AT1G19570	3'UTR	641.3312466	641.119523786315	0.0117113376667393	medium	79
1_24540680_24540681	m6A	685.5	AT1G65930	CDS	348.4411429	270.239698838551	0.00554790820337998	short	0
